launch_name,payloads,rocket_name,launchpad_name,launchpad_region,launchpad_geo,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
Turksat 5A,"{'type': 'Satellite', 'mass': 3500, 'orbit': 'GTO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink-16 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Transporter-1,"{'type': 'Satellite', 'mass': 5000, 'orbit': 'SSO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink-18 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink-19 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink-17 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink-20 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink-21 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink-22 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink-23 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Crew-2,"{'type': 'Crew Dragon', 'mass': None, 'orbit': 'ISS'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink-24 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink-25 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink-27 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,"{'type': 'Satellite', 'mass': 13632, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink-28 (v1.0),"{'type': 'Satellite', 'mass': 15600, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
CRS-22 & IROSA,"{'type': 'Dragon 2.0', 'mass': 3328, 'orbit': 'ISS'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
